"material code","material thickness","dimension A (along wood grain)","dimension B","count","edge banding A-1","edge banding A-2","edge banding B-1","edge banding B-2","panel name","panel description"
"MEL-19","19","562","230","2","1","0","0","0","CorpusTopBottom","Horizontal top and bottom panels"
"MEL-19","19","562","230","1","1","0","0","0","CorpusMiddle","Horizontal shelf separating drawers and bookcase"
"MEL-12","12","200","225","6","1","1","0","1","DrawerSideLeft","Vertical side panel of a drawer"
"MEL-12","12","200","225","6","1","1","0","1","DrawerSideRight","Vertical side panel of a drawer"
"MEL-12","12","512","200","6","1","1","0","0","DrawerBack","Vertical back panel of a drawer"
"MEL-12","12","512","213","6","0","0","0","0","DrawerBottom","Bottom panel of a drawer"
"MEL-19","19","597","233","1","1","1","1","1","DrawerFrontFirst","Front panel for the bottom drawer"
"MEL-19","19","597","207","4","1","1","1","1","DrawerFrontStandard","Front panel for the middle 4 drawers"
"MEL-19","19","597","216","1","1","1","1","1","DrawerFrontTop","Front panel for the top drawer"
"MEL-19","19","562","230","2","1","0","0","0","Shelf","Shelf in the bookcase section"
"MEL-19","19","562","30","2","1","0","0","0","PedestalFrontBack","Front and back panels of the pedestal"
"MEL-19","19","230","30","2","1","0","1","1","PedestalSide","Side panels of the pedestal"
"HDF-3","3","2300","600","1","0","0","0","0","HDFBackPanel","The back panel of the entire unit"
